elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,82,124.7
1,0.0,,85,124.7
2,0.0,,85,124.7
3,0.0,,86,125.3
4,0.0,,87,125.3
5,0.0,,90,125.3
6,0.0,51:34,95,125.3
7,0.0,25:47,99,126.0
8,0.0,25:47,100,126.0
9,0.0,25:47,100,126.0
10,0.0,18:37,99,126.0
11,0.01,21:17,99,126.0
12,0.01,30:28,99,126.0
13,0.01,19:43,97,126.0
14,0.01,17:25,97,126.0
15,0.01,17:52,97,126.0
16,0.01,16:21,97,126.0
17,0.01,14:07,98,126.0
18,0.01,13:49,100,126.0
19,0.02,11:33,101,126.0
20,0.02,11:27,102,126.0
50,0.02,268:13,106,126.0
51,0.02,487:40,106,125.3
52,0.02,319:18,105,125.3
53,0.02,211:12,106,124.7
54,0.02,138:15,106,124.7
55,0.02,16:58,108,124.7
56,0.02,13:16,109,124.7
57,0.03,11:21,110,124.7
58,0.03,10:00,112,124.7
59,0.03,10:05,112,125.3
60,0.03,10:33,114,125.3
61,0.03,11:33,114,125.3
62,0.03,12:11,114,125.3
63,0.03,13:08,114,126.0
64,0.03,13:24,114,126.0
65,0.04,12:11,114,126.0
66,0.04,11:52,114,126.0
67,0.04,12:11,114,126.0
68,0.04,12:39,115,126.0
69,0.04,12:53,118,126.0
70,0.04,14:34,120,126.0
71,0.04,14:44,121,126.0
72,0.04,15:24,121,126.0
73,0.05,16:09,123,126.0
74,0.05,15:57,123,125.3
75,0.05,15:14,124,125.3
76,0.05,14:25,124,125.3
77,0.05,13:32,124,125.3
78,0.05,12:53,124,125.3
79,0.05,12:32,126,126.0
80,0.06,11:10,126,126.6
81,0.06,12:53,125,126.6
82,0.06,13:41,126,127.3
83,0.06,13:16,125,128.0
84,0.06,13:32,125,128.0
85,0.06,15:35,125,128.0
86,0.06,13:16,125,127.3
87,0.06,12:18,124,127.3
88,0.07,12:04,126,126.6
89,0.07,11:39,126,126.6
90,0.07,11:39,126,126.6
91,0.07,12:04,126,127.3
92,0.07,12:46,126,127.3
93,0.07,13:24,125,127.3
94,0.07,13:58,124,127.3
95,0.07,14:07,123,128.0
96,0.08,13:24,123,128.0
97,0.08,12:46,123,128.6
98,0.08,12:11,123,128.6
99,0.08,12:25,124,128.6
100,0.08,13:01,125,128.6
101,0.08,13:08,124,128.6
102,0.08,13:32,125,128.6
103,0.08,15:04,125,128.6
104,0.08,15:04,125,128.0
105,0.09,14:44,125,128.0
106,0.09,16:21,126,128.0
107,0.09,15:46,127,128.0
108,0.09,14:34,127,128.0
109,0.09,15:14,128,127.3
110,0.09,15:14,127,127.3
111,0.09,14:07,126,127.3
112,0.09,14:25,125,126.6
113,0.09,15:14,125,126.6
114,0.1,15:04,127,126.0
115,0.1,15:14,127,125.3
116,0.1,16:21,126,125.3
117,0.1,16:21,126,125.3
118,0.1,16:45,126,124.7
119,0.1,16:33,126,124.7
120,0.1,15:57,127,124.7
121,0.1,15:14,127,124.7
122,0.1,15:24,129,124.7
123,0.11,14:34,128,124.0
124,0.11,13:41,129,124.0
125,0.11,13:41,127,124.0
126,0.11,13:49,127,124.0
127,0.11,13:16,128,124.0
128,0.11,13:49,127,124.0
129,0.11,14:54,126,124.0
130,0.11,14:44,125,123.4
131,0.11,15:24,124,123.4
132,0.12,16:21,123,123.4
133,0.12,15:24,124,123.4
134,0.12,15:04,125,123.4
135,0.12,15:14,127,122.7
136,0.12,13:58,125,122.7
137,0.12,13:32,123,122.7
138,0.12,14:07,122,122.7
139,0.12,14:16,121,122.7
140,0.12,14:34,121,122.7
141,0.13,15:04,122,122.7
142,0.13,15:14,122,122.7
143,0.13,15:35,118,123.4
144,0.13,15:46,114,123.4
145,0.13,15:46,113,123.4
146,0.13,15:57,110,123.4
147,0.13,16:45,110,123.4
148,0.13,16:21,110,123.4
149,0.13,16:09,110,123.4
150,0.14,16:09,111,123.4
151,0.14,16:09,111,123.4
152,0.14,15:14,112,123.4
153,0.14,15:04,113,123.4
154,0.14,15:04,113,123.4
155,0.14,15:04,113,123.4
156,0.14,14:44,114,123.4
157,0.14,15:24,114,123.4
158,0.14,15:35,113,122.7
159,0.15,15:14,113,122.7
160,0.15,15:24,114,122.7
161,0.15,15:57,114,122.7
162,0.15,15:14,115,122.7
163,0.15,15:04,116,123.4
164,0.15,15:24,117,123.4
165,0.15,15:04,119,123.4
166,0.15,15:04,120,123.4
167,0.15,15:46,122,122.7
168,0.16,15:14,123,122.7
169,0.16,14:54,125,122.7
170,0.16,14:25,127,122.7
171,0.16,13:08,129,122.7
172,0.16,12:53,129,122.7
173,0.16,13:16,129,122.7
174,0.16,13:32,131,123.4
175,0.16,13:41,131,123.4
176,0.16,15:04,131,123.4
177,0.17,15:24,130,123.4
178,0.17,15:35,130,123.4
179,0.17,15:04,130,123.4
180,0.17,15:24,130,123.4
181,0.17,15:04,130,123.4
182,0.17,14:25,130,123.4
183,0.17,14:07,130,123.4
184,0.17,13:41,130,123.4
185,0.17,14:16,128,124.0
186,0.18,13:58,128,124.0
187,0.18,13:32,127,124.0
188,0.18,13:08,126,124.0
189,0.18,13:16,126,124.0
190,0.18,12:46,125,123.4
